cluster number,Population,Drought,WSDI,Flood Occurrence,Flood Fatalities,Flood Severity,Earthquake Severity,TotlowBmi,Totclust
1,13414.6552734375,1,54.0,0.0,0.0,0,0,5,22
2,4340.94775390625,1,47.33333333333334,0.0,0.0,0,0,7,21
3,1639.978759765625,7,53.5,0.0,0.0,0,0,0,15
4,23124.3359375,2,41.5,0.0,0.0,0,0,11,33
5,74887.8125,1,44.83333333333334,0.0,0.0,0,0,1,21
6,16724.5078125,5,43.5,0.0,0.0,0,0,16,49
7,10001.2265625,2,41.16666666666666,0.06666666666666667,0.2666666666666667,1,0,4,20
8,98354.1015625,5,45.83333333333333,0.0,0.0,0,0,1,15
9,44923.19140625,5,51.66666666666667,0.0,0.0,0,0,0,12
10,23282.33984375,2,38.33333333333333,0.0,0.0,0,0,3,29
11,444332.6875,5,45.83333333333333,0.0,0.0,0,0,4,25
12,111256.2109375,5,43.16666666666667,0.0,0.0,0,0,1,12
13,679.0595703125,5,50.33333333333333,0.0,0.0,0,0,7,42
14,81145.328125,5,50.83333333333334,0.0,0.0,0,0,0,11
16,56171.1171875,1,51.33333333333333,0.03125,0.0,1,0,2,26
17,19328.015625,5,49.5,0.0,0.0,0,0,5,22
18,119375.34375,5,45.83333333333333,0.0,0.0,0,0,3,17
20,1528.703857421875,5,43.66666666666667,0.0,0.0,0,0,11,35
21,4179.76318359375,2,44.66666666666666,0.0,0.0,0,0,6,26
22,51828.98828125,1,51.16666666666666,0.03125,0.0,1,0,0,20
23,28416.587890625,2,45.0,0.0,0.0,0,0,2,23
24,20252.537109375,5,42.83333333333333,0.0,0.0,0,0,0,14
25,6336.19140625,4,42.0,0.0,0.0,0,0,2,22
27,8212.841796875,7,40.66666666666667,0.0,0.0,0,0,2,27
28,199445.25,1,50.5,0.03125,0.0,1,0,0,18
31,28345.638671875,2,41.16666666666666,0.0,0.0,0,0,4,29
32,19749.0078125,1,50.5,0.03125,0.0,1,0,0,16
33,14871.888671875,2,39.83333333333334,0.0,0.0,0,0,8,24
34,23591.390625,2,45.33333333333333,0.0,0.0,0,0,3,44
35,14661.9384765625,2,51.16666666666666,0.0,0.0,0,0,0,21
36,49379.32421875,5,43.16666666666667,0.0,0.0,0,0,0,14
37,22502.5703125,2,41.66666666666667,0.0,0.0,0,0,0,26
38,9006.560546875,2,38.33333333333334,0.0,0.0,0,0,11,23
39,9004.775390625,2,39.16666666666666,0.06666666666666667,0.2666666666666667,1,0,2,25
40,9776.1611328125,5,49.33333333333334,0.0,0.0,0,0,0,17
41,13641.5205078125,2,40.16666666666666,0.0,0.0,0,0,4,26
42,16443.76953125,5,50.5,0.0,0.0,0,0,6,41
44,7977.27734375,4,41.83333333333334,0.0,0.0,0,0,0,13
45,865.7639770507812,5,51.66666666666667,0.0,0.0,0,0,2,19
46,60217.8125,5,44.66666666666667,0.0,0.0,0,0,1,16
47,60723.95703125,5,53.5,0.0,0.0,0,0,3,14
48,6790.36865234375,2,42.5,0.06666666666666667,0.2666666666666667,1,0,0,21
50,20039.134765625,1,43.5,0.0,0.0,0,0,4,40
51,3888.4541015625,5,50.5,0.0,0.0,0,0,8,27
52,69786.0,1,50.5,0.0,0.0,0,0,0,14
53,27340.3125,5,48.83333333333334,0.0,0.0,0,0,4,19
54,104021.34375,5,43.16666666666667,0.0,0.0,0,0,2,29
55,21884.71875,2,44.66666666666666,0.0,0.0,0,0,8,27
56,46900.8046875,5,52.66666666666667,0.0,0.0,0,0,2,23
57,26933.841796875,5,43.66666666666667,0.0,0.0,0,0,2,14
59,878.6361083984375,1,47.16666666666667,0.0,0.0,0,0,0,15
60,7784.1005859375,1,46.0,0.0,0.0,0,0,8,34
61,10273.775390625,1,49.33333333333333,0.0,0.0,0,0,4,23
62,120581.15625,5,43.16666666666667,0.0,0.0,0,0,3,17
63,107886.71875,5,43.16666666666667,0.0,0.0,0,0,0,15
64,122277.8359375,5,45.83333333333333,0.0,0.0,0,0,2,15
65,74807.328125,1,43.83333333333334,0.0,0.0,0,0,0,23
66,691.5134887695312,5,45.0,0.0,0.0,0,0,0,15
67,58592.61328125,5,48.0,0.0,0.0,0,0,2,31
68,5594.30859375,5,48.83333333333334,0.0,0.0,0,0,0,20
69,14078.7431640625,2,40.5,0.04545454545454546,0.6363636363636364,1,0,0,12
70,10704.4453125,1,45.33333333333334,0.0,0.0,0,0,2,22
71,24607.1171875,5,44.5,0.0,0.0,0,0,2,14
72,28338.435546875,5,49.16666666666667,0.0,0.0,0,0,5,27
73,13257.1865234375,4,44.83333333333334,0.0,0.0,0,0,5,31
74,38202.09765625,1,45.5,0.0,0.0,0,0,2,24
