cluster number,Population,CCHF 1,CCHF 2,CCHF 3a,CCHF 3b,Ebola Virus 1,Ebola Virus 2,Ebola Virus 3a,Ebola Virus 3b,Lassa Fever 1,Lassa Fever 2,Lassa Fever 3a,Lassa Fever 3b,Marburg Virus 1,Marburg Virus 2,Marburg Virus 3a,Marburg Virus 3b,Malaria Prevalence,TotlowBmi,Totclust
1,13414.6552734375,0.0,0.0,0.0,0.0,0,0,0,0,0.7020584478653402,0.9082627816640008,0.9261233451909696,0.953028216944179,0,0,0,0,0.8156318664550781,5,22
2,4340.94775390625,0.6543762925819229,0.8372497821421057,0.8242646697728624,0.915013539494644,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0.7974621909005302,7,21
3,1639.978759765625,0.0,0.0,0.0,0.0,0,0,0,0,0.7020584478653402,0.9082627816640008,0.9261233451909696,0.953028216944179,0,0,0,0,0.8732708096504211,0,15
4,23124.3359375,0.7597535507122279,0.894264768299902,0.8597820481511879,0.945655733835204,0,0,0,0,0.4672230897801914,0.6649651840321564,0.8231398304793567,0.8154539737162553,0,0,0,0,0.6229337964739118,11,33
5,74887.8125,0.6962624120086195,0.8722771973854017,0.8580258692949267,0.9339578120373052,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.8114501953125,1,21
6,16724.5078125,0.782764416455727,0.8692984618465361,0.90415254740801,0.93236176559774,0,0,0,0,0.5611520230183776,0.7096948977161343,0.9067704077247004,0.8424339126776557,0,0,0,0,0.7498386383056641,16,49
7,10001.2265625,0.6863556584266082,0.9163904976639076,0.8397095026688962,0.9572828725501188,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.8537663221359253,4,20
8,98354.1015625,1.0,1.0,1.0,1.0,0,0,0,0,0.3301279103291933,0.5594539686038856,0.8301197115527821,0.7479665551378957,0,0,0,0,0.3093401789665222,1,15
9,44923.19140625,0.5817719307912911,0.775442467468546,0.8054642093807921,0.8805921122341651,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.587469756603241,0,12
10,23282.33984375,0.6875613856020238,0.8819736351365786,0.8748111983662304,0.9391345135974706,0,0,0,0,0.4337858217362248,0.6818405132273645,0.8536075976572032,0.8257363464206895,0,0,0,0,0.5366992950439453,3,29
11,444332.6875,1.0,1.0,1.0,1.0,0,0,0,0,0.3301279103291933,0.5594539686038856,0.8301197115527821,0.7479665551378957,0,0,0,0,0.4534803118024553,4,25
12,111256.2109375,1.0,1.0,1.0,1.0,0,0,0,0,0.3301279103291933,0.5594539686038856,0.8301197115527821,0.7479665551378957,0,0,0,0,0.2356643229722976,1,12
13,679.0595703125,0.7065964358618196,0.9110420758511858,0.905981686094525,0.9544852415555624,0,0,0,0,0.4222505446983496,0.6798356589877023,0.8689683872295592,0.8245214729973784,0,0,0,0,0.7007096409797668,7,42
14,81145.328125,0.3629493977352419,0.6130667027656174,0.725913794438182,0.7829857618699322,0,0,0,0,0.1908456440908384,0.4267485239364209,0.6718946353952225,0.6532599207311339,0,0,0,0,0.7662480218069894,0,11
16,56171.1171875,0.7633556162407865,0.8754383531356233,0.8972286399839985,0.935648627312028,0,0,0,0,0.5902674724205538,0.7352494608993062,0.912863707370288,0.8574668837131301,0,0,0,0,0.401517242193222,2,26
17,19328.015625,0.5704177441758566,0.7846878626312039,0.767337990048236,0.8858260909032443,0,0,0,0,0.6282340542287282,0.7947940493689487,0.8572474875322211,0.8915122264865056,0,0,0,0,0.6964683532714844,5,22
18,119375.34375,1.0,1.0,1.0,1.0,0,0,0,0,0.3301279103291933,0.5594539686038856,0.8301197115527821,0.7479665551378957,0,0,0,0,0.2591984868049621,3,17
20,1528.703857421875,0.782764416455727,0.8692984618465361,0.90415254740801,0.93236176559774,0,0,0,0,0.5611520230183776,0.7096948977161343,0.9067704077247004,0.8424339126776557,0,0,0,0,0.771458089351654,11,35
21,4179.76318359375,0.6939049770801221,0.9010726600571975,0.8557139379639566,0.9492484716038276,0,0,0,0,0.4107585294888245,0.6608137508875795,0.8129860932748144,0.8129045139933971,0,0,0,0,0.7766498327255249,6,26
22,51828.98828125,0.7633556162407865,0.8754383531356233,0.8972286399839985,0.935648627312028,0,0,0,0,0.5902674724205538,0.7352494608993062,0.912863707370288,0.8574668837131301,0,0,0,0,0.401517242193222,0,20
