cluster number,Population,Adolescent,Pregnant Women,Non-pregnant Women,Child Age 0 to 5yrs,Parity >=3,Age 15 to 19yrs,Age 20 to 24yrs,Age 25 to 29yrs,Age 30 to 39yrs,Age 40 to 49yrs,Rural,Uneducated,Primary Education,Unimproved source of drinking water,Toilet unavailable,Unimproved toilet,Large family,Households with >=2 children under 5yrs,Male Household Head,Households with >=2 births last 5yrs,Poorer WI,Poorest WI,Middle WI,Households with 2 births last year,Currently pregnant,Gestational Age 0 to 4months,Currently breastfeeding,Partner is uneducated,Partner has primary education,Partner is unemployed,Partner is unskilled laborer,Partner is farmer,Unemployed,Unskilled laborer,Farmer,Partner is healthcare Decision-Maker,Partner is household Decision-Maker,Partner decides family visits,Partner is financial Decision-maker,TotlowBmi,Totclust
1,13414.6552734375,0.090909091,0.0,0.909090909,0.363636364,0.818181818,0.090909091,0.090909091,0.0,0.181818182,0.636363636,1,0.863636364,0.045454545,0.272727273,0.909090909,0.0,0.363636364,0.181818182,0.818181818,0.181818182,0.136363636,0.590909091,0.181818182,0.0,0.0,1.0,0.090909091,0.818181818,0.0,0,0.0,0.954545455,0.0,0.0,0.409090909,0.727272727,0.772727273,0.681818182,0.909090909,5,22
2,4340.94775390625,0.304347826,0.0,0.695652174,0.608695652,0.347826087,0.304347826,0.086956522,0.173913043,0.260869565,0.173913043,1,0.652173913,0.347826087,0.086956522,0.086956522,0.913043478,0.608695652,0.391304348,1.0,0.260869565,0.086956522,0.086956522,0.52173913,0.0,0.0,1.0,0.434782609,0.913043478,0.0,0,0.0,0.826086957,0.043478261,0.0,0.826086957,0.913043478,0.739130435,0.652173913,1.0,7,21
3,1639.978759765625,0.263157895,0.105263158,0.631578947,0.526315789,0.526315789,0.263157895,0.0,0.105263158,0.526315789,0.105263158,0,0.842105263,0.0,0.0,0.631578947,0.0,0.210526316,0.157894737,0.736842105,0.105263158,0.105263158,0.526315789,0.0,0.0,0.105263158,0.894736842,0.210526316,0.631578947,0.105263158,0,0.0,0.526315789,0.052631579,0.0,0.210526316,0.684210526,0.789473684,0.789473684,1.0,0,15
4,23124.3359375,0.114285714,0.057142857,0.828571429,0.628571429,0.8,0.114285714,0.085714286,0.228571429,0.4,0.171428571,1,0.857142857,0.085714286,0.542857143,0.714285714,0.0,0.857142857,0.514285714,0.942857143,0.285714286,0.228571429,0.142857143,0.228571429,0.057142857,0.057142857,0.942857143,0.457142857,0.914285714,0.0,0,0.0,0.685714286,0.0,0.0,0.742857143,0.942857143,0.942857143,0.885714286,0.942857143,11,33
5,74887.8125,0.043478261,0.086956522,0.869565217,0.608695652,0.782608696,0.043478261,0.260869565,0.260869565,0.260869565,0.173913043,1,0.913043478,0.086956522,0.608695652,1.0,0.0,0.391304348,0.565217391,0.913043478,0.52173913,0.347826087,0.0,0.652173913,0.0,0.086956522,1.0,0.434782609,0.695652174,0.260869565,0,0.0,0.782608696,0.0,0.0,0.173913043,0.130434783,0.130434783,0.130434783,0.739130435,1,21
6,16724.5078125,0.113207547,0.075471698,0.811320755,0.716981132,0.716981132,0.113207547,0.132075472,0.150943396,0.377358491,0.226415094,1,0.943396226,0.018867925,0.301886792,0.867924528,0.075471698,0.849056604,0.716981132,0.962264151,0.377358491,0.358490566,0.0,0.41509434,0.0,0.075471698,1.0,0.528301887,0.773584906,0.113207547,0,0.0,0.830188679,0.0,0.0,0.962264151,0.58490566,0.58490566,0.547169811,1.0,16,49
7,10001.2265625,0.230769231,0.0,0.769230769,0.461538462,0.615384615,0.230769231,0.153846154,0.076923077,0.230769231,0.307692308,1,1.0,0.0,0.769230769,0.884615385,0.115384615,0.384615385,0.5,1.0,0.384615385,0.461538462,0.461538462,0.0,0.0,0.0,1.0,0.384615385,1.0,0.0,0,0.0,0.461538462,0.115384615,0.0,0.269230769,1.0,1.0,1.0,1.0,4,20
8,98354.1015625,0.206896552,0.0,0.793103448,0.413793103,0.551724138,0.206896552,0.137931034,0.172413793,0.344827586,0.137931034,0,0.413793103,0.379310345,0.034482759,0.0,0.068965517,0.379310345,0.206896552,0.793103448,0.068965517,0.0,0.0,0.0,0.0,0.0,1.0,0.068965517,0.24137931,0.206896552,0,0.068965517,0.068965517,0.24137931,0.137931034,0.034482759,0.862068966,0.931034483,1.0,0.793103448,1,15
9,44923.19140625,0.176470588,0.0,0.823529412,0.235294118,0.705882353,0.176470588,0.117647059,0.117647059,0.117647059,0.470588235,0,0.411764706,0.411764706,0.0,0.0,0.0,0.470588235,0.0,0.882352941,0.0,0.0,0.0,0.0,0.0,0.058823529,0.941176471,0.117647059,0.470588235,0.294117647,0,0.0,0.470588235,0.470588235,0.0,0.235294118,0.882352941,0.882352941,0.470588235,0.882352941,0,12
10,23282.33984375,0.103448276,0.068965517,0.827586207,0.689655172,0.689655172,0.103448276,0.068965517,0.206896552,0.413793103,0.206896552,1,0.793103448,0.137931034,0.0,0.931034483,0.0,0.379310345,0.379310345,0.827586207,0.137931034,0.275862069,0.517241379,0.137931034,0.0,0.068965517,1.0,0.344827586,0.551724138,0.206896552,0,0.0,0.827586207,0.0,0.0,0.75862069,0.931034483,0.862068966,0.931034483,1.0,3,29
11,444332.6875,0.12,0.08,0.8,0.32,0.72,0.12,0.08,0.24,0.08,0.48,1,0.68,0.28,0.0,1.0,0.0,0.4,0.16,0.88,0.16,0.0,0.12,0.16,0.0,0.08,0.92,0.16,0.88,0.0,0,0.08,0.72,0.6,0.0,0.12,0.92,1.0,0.44,0.92,4,25
12,111256.2109375,0.266666667,0.066666667,0.666666667,0.466666667,0.4,0.266666667,0.133333333,0.2,0.133333333,0.266666667,0,0.1,0.466666667,0.0,0.0,0.0,0.7,0.133333333,0.566666667,0.0,0.0,0.0,0.0,0.0,0.066666667,0.933333333,0.133333333,0.233333333,0.133333333,0,0.0,0.0,0.266666667,0.133333333,0.0,0.6,0.766666667,0.466666667,0.9,1,12
13,679.0595703125,0.208333333,0.041666667,0.75,0.666666667,0.541666667,0.208333333,0.208333333,0.208333333,0.25,0.125,0,0.833333333,0.104166667,0.0,0.541666667,0.0,0.8125,0.6875,0.854166667,0.166666667,0.270833333,0.041666667,0.1875,0.0,0.041666667,0.958333333,0.458333333,0.75,0.041666667,0,0.0,0.375,0.083333333,0.041666667,0.541666667,0.875,0.833333333,0.708333333,1.0,7,42
14,81145.328125,0.0,0.0,1.0,0.666666667,0.266666667,0.0,0.266666667,0.333333333,0.266666667,0.133333333,1,0.866666667,0.0,0.133333333,0.733333333,0.0,0.0,0.266666667,0.6,0.266666667,0.066666667,0.0,0.533333333,0.0,0.0,1.0,0.4,0.733333333,0.133333333,0,0.0,0.4,0.0,0.0,0.533333333,0.866666667,0.866666667,1.0,0.733333333,0,11
16,56171.1171875,0.176470588,0.029411765,0.794117647,0.529411765,0.294117647,0.176470588,0.205882353,0.323529412,0.117647059,0.176470588,0,0.411764706,0.323529412,0.0,0.0,0.0,0.470588235,0.294117647,0.735294118,0.0,0.0,0.0,0.0,0.0,0.029411765,1.0,0.235294118,0.235294118,0.352941176,0,0.0,0.058823529,0.235294118,0.029411765,0.0,0.882352941,0.882352941,0.470588235,0.941176471,2,26
17,19328.015625,0.181818182,0.090909091,0.727272727,0.727272727,0.818181818,0.181818182,0.090909091,0.090909091,0.181818182,0.454545455,1,0.954545455,0.045454545,0.0,1.0,0.0,0.772727273,0.863636364,1.0,0.545454545,0.090909091,0.818181818,0.090909091,0.0,0.090909091,1.0,0.545454545,0.818181818,0.0,0,0.0,0.818181818,0.0,0.0,1.0,0.909090909,0.818181818,0.363636364,1.0,5,22
18,119375.34375,0.25,0.041666667,0.708333333,0.333333333,0.333333333,0.25,0.166666667,0.166666667,0.333333333,0.083333333,0,0.333333333,0.25,0.0,0.0,0.0,0.083333333,0.0,0.791666667,0.0,0.0,0.0,0.0,0.0,0.041666667,1.0,0.083333333,0.166666667,0.208333333,0,0.0,0.0,0.583333333,0.0,0.0,0.916666667,0.708333333,0.375,1.0,3,17
20,1528.703857421875,0.285714286,0.0,0.714285714,0.685714286,0.514285714,0.285714286,0.114285714,0.114285714,0.371428571,0.114285714,0,0.628571429,0.257142857,0.428571429,1.0,0.0,0.828571429,0.485714286,0.885714286,0.342857143,0.114285714,0.0,0.428571429,0.057142857,0.0,1.0,0.514285714,0.371428571,0.285714286,0,0.057142857,0.457142857,0.057142857,0.0,0.914285714,1.0,1.0,0.942857143,1.0,11,35
21,4179.76318359375,0.230769231,0.076923077,0.692307692,0.692307692,0.615384615,0.230769231,0.153846154,0.307692308,0.307692308,0.0,0,0.846153846,0.153846154,0.0,0.692307692,0.153846154,0.307692308,0.307692308,0.692307692,0.230769231,0.230769231,0.076923077,0.230769231,0.0,0.076923077,0.923076923,0.538461538,0.846153846,0.076923077,0,0.153846154,0.538461538,0.384615385,0.0,0.153846154,0.846153846,0.692307692,0.538461538,0.923076923,6,26
22,51828.98828125,0.076923077,0.076923077,0.846153846,0.615384615,0.307692308,0.076923077,0.423076923,0.192307692,0.307692308,0.0,0,0.538461538,0.192307692,0.0,0.0,0.153846154,0.423076923,0.423076923,0.423076923,0.153846154,0.0,0.0,0.0,0.0,0.076923077,0.961538462,0.307692308,0.384615385,0.153846154,0,0.0,0.230769231,0.384615385,0.0,0.0,0.884615385,0.807692308,0.307692308,1.0,0,20
23,28416.587890625,0.173913043,0.173913043,0.652173913,0.782608696,0.52173913,0.173913043,0.043478261,0.347826087,0.434782609,0.0,1,0.956521739,0.043478261,0.086956522,1.0,0.0,0.434782609,0.695652174,1.0,0.434782609,0.260869565,0.086956522,0.217391304,0.0,0.217391304,0.826086957,0.434782609,0.565217391,0.217391304,0,0.0,0.782608696,0.043478261,0.0,0.782608696,0.826086957,0.782608696,0.913043478,1.0,2,23
